Stock,Date,Price,Open,High,Low,Vol.,Change %,Daily Price Change,Daily % Change,High–Low Range,High–Low % Range,Previous Close,Daily Return %,Volume % Change,Month / Year,Day Type
HDFC,18-09-2025,976.9,973.3,979.65,969.25,17790000,1.08%,3.6,0.003698757,10.40,0.010729946,966.90,0.01034233,-0.43,Sep-2025,Up Day
HDFC,17-09-2025,966.5,965.15,974.4,964.35,17360000,-0.04%,1.35,0.001398746,10.05,0.010421527,976.90,-0.01064592,-0.02,Sep-2025,Down Day
HDFC,16-09-2025,966.85,961.2,969.35,961.2,18660000,-0.02%,5.65,0.005878069,8.15,0.008478985,966.50,0.00036213,0.07,Sep-2025,Up Day
HDFC,15-09-2025,967.05,969.6,972.35,965,14490000,-0.03%,-2.55,-0.00262995,7.35,0.00761658,966.85,0.00020686,-0.22,Sep-2025,Up Day
HDFC,12-09-2025,967.3,969.9,970.75,962.25,14360000,-0.05%,-2.6,-0.002680689,8.50,0.008833463,967.05,0.00025852,-0.01,Sep-2025,Up Day
HDFC,11-09-2025,967.8,960.3,969.25,959.9,15110000,0.20%,7.5,0.007810059,9.35,0.009740598,967.30,0.00051690,0.05,Sep-2025,Up Day
HDFC,10-09-2025,965.9,973.9,973.9,961.7,18090000,0.08%,-8,-0.008214396,12.20,0.012685869,967.80,-0.00196322,0.20,Sep-2025,Down Day
HDFC,09-09-2025,965.15,974,974.4,962.7,13990000,-0.09%,-8.85,-0.009086242,11.70,0.012153319,965.90,-0.00077648,-0.23,Sep-2025,Down Day
HDFC,08-09-2025,966,969,973.15,960.45,11710000,0.27%,-3,-0.003095975,12.70,0.013222968,965.15,0.00088069,-0.16,Sep-2025,Up Day
HDFC,05-09-2025,963.4,967.5,967.5,954.05,11600000,0.22%,-4.1,-0.004237726,13.45,0.014097794,966.00,-0.00269151,-0.01,Sep-2025,Down Day
HDFC,04-09-2025,961.25,960.2,965.7,956.25,17600000,0.71%,1.05,0.001093522,9.45,0.009882353,963.40,-0.00223168,0.52,Sep-2025,Down Day
HDFC,03-09-2025,954.45,945,956.3,940,16080000,1.05%,9.45,0.01,16.30,0.017340426,961.25,-0.00707412,-0.09,Sep-2025,Down Day
HDFC,02-09-2025,944.5,951,954.8,944,14200000,-0.64%,-6.5,-0.006834911,10.80,0.011440678,954.45,-0.01042485,-0.12,Sep-2025,Down Day
HDFC,01-09-2025,950.6,949.6,957.45,946.35,20180000,-0.11%,1,0.001053075,11.10,0.011729276,944.50,0.00645844,0.42,Sep-2025,Up Day
HDFC,29-08-2025,951.6,954,963.3,950.1,14820000,-0.65%,-2.4,-0.002515723,13.20,0.013893274,950.60,0.00105197,-0.27,Aug-2025,Up Day
HDFC,28-08-2025,957.8,967,972.2,955,25440000,-1.60%,-9.2,-0.009513961,17.20,0.018010471,951.60,0.00651534,0.72,Aug-2025,Up Day
HDFC,26-08-2025,973.4,979.5,985.7,968,16920000,-0.88%,-6.1,-0.006227667,17.70,0.018285124,957.80,0.01628733,-0.33,Aug-2025,Up Day
HDFC,25-08-2025,982.05,980.1,988.7,978.5,17520000,-0.03%,1.95,0.001989593,10.20,0.010424119,973.40,0.00888638,0.04,Aug-2025,Up Day
HDFC,22-08-2025,982.3,994.95,998,978.55,19830000,-1.34%,-12.65,-0.012714207,19.45,0.019876348,982.05,0.00025457,0.13,Aug-2025,Up Day
HDFC,21-08-2025,995.6,998.75,998.75,991.6,12440000,0.15%,-3.15,-0.003153942,7.15,0.007210569,982.30,0.01353965,-0.37,Aug-2025,Up Day
HDFC,20-08-2025,994.1,993.5,996,989.5,9950000,-0.15%,0.6,0.000603926,6.50,0.006568974,995.60,-0.00150663,-0.20,Aug-2025,Down Day
HDFC,19-08-2025,995.55,999.15,"1,003.05",993.35,12350000,-0.62%,-3.6,-0.003603063,9.70,0.009764937,994.10,0.00145861,0.24,Aug-2025,Up Day
HDFC,18-08-2025,"1,001.80","1,005.00","1,013.30",997.8,19280000,0.63%,-3.2,-0.00318408,15.50,0.015534175,995.55,0.00627794,0.56,Aug-2025,Up Day
HDFC,14-08-2025,995.55,989,998,985.6,17510000,0.55%,6.55,0.006622851,12.40,0.012581169,1001.80,-0.00623877,-0.09,Aug-2025,Down Day
HDFC,13-08-2025,990.15,997,997,984.55,13580000,0.53%,-6.85,-0.006870612,12.45,0.012645371,995.55,-0.00542414,-0.22,Aug-2025,Down Day
HDFC,12-08-2025,984.95,995.95,998,983.75,12940000,-1.29%,-11,-0.011044731,14.25,0.014485388,990.15,-0.00525173,-0.05,Aug-2025,Down Day
HDFC,11-08-2025,997.8,987.95,998.8,986.55,9110000,1.10%,9.85,0.00997014,12.25,0.012417009,984.95,0.01304635,-0.30,Aug-2025,Up Day
HDFC,08-08-2025,986.95,993.55,996.4,985,13900000,-1.08%,-6.6,-0.006642846,11.40,0.011573604,997.80,-0.01087392,0.53,Aug-2025,Down Day
HDFC,07-08-2025,997.7,990.05,"1,000.80",988.4,13080000,0.51%,7.65,0.007726882,12.40,0.012545528,986.95,0.01089214,-0.06,Aug-2025,Up Day
HDFC,06-08-2025,992.65,985.55,994,985,14080000,0.39%,7.1,0.007204099,9.00,0.009137056,997.70,-0.00506164,0.08,Aug-2025,Down Day
HDFC,05-08-2025,988.8,993.25,997.2,982.75,23980000,-0.72%,-4.45,-0.004480242,14.45,0.014703638,992.65,-0.00387851,0.70,Aug-2025,Down Day
HDFC,04-08-2025,996,"1,005.05","1,009.25",994.05,13930000,-1.00%,-9.05,-0.009004527,15.20,0.015290981,988.80,0.00728155,-0.42,Aug-2025,Up Day
HDFC,01-08-2025,"1,006.10","1,007.00","1,014.15","1,004.65",11320000,-0.30%,-0.9,-0.000893744,9.50,0.009456029,996.00,0.01014056,-0.19,Aug-2025,Up Day
HDFC,31-07-2025,"1,009.10","1,007.30","1,015.70","1,004.00",22180000,-0.38%,1.8,0.001786955,11.70,0.011653386,1006.10,0.00298181,0.96,Jul-2025,Up Day
HDFC,30-07-2025,"1,012.90","1,014.00","1,016.30","1,008.50",15150000,0.21%,-1.1,-0.001084813,7.80,0.007734259,1009.10,0.00376573,-0.32,Jul-2025,Up Day
HDFC,29-07-2025,"1,010.80",999.95,"1,013.25",998.15,19900000,0.65%,10.85,0.010850543,15.10,0.015127987,1012.90,-0.00207326,0.31,Jul-2025,Down Day
HDFC,28-07-2025,"1,004.25","1,001.50","1,010.70","1,000.25",12060000,0.19%,2.75,0.002745881,10.45,0.010447388,1010.80,-0.00648002,-0.39,Jul-2025,Down Day
HDFC,25-07-2025,"1,002.30","1,007.50","1,007.50",999.5,9310000,-0.23%,-5.2,-0.00516129,8.00,0.008004002,1004.25,-0.00194175,-0.23,Jul-2025,Down Day
HDFC,24-07-2025,"1,004.60","1,016.32","1,016.32","1,001.71",19110000,-0.50%,-11.72,-0.011531801,14.61,0.01458506,1002.30,0.00229472,1.05,Jul-2025,Up Day
HDFC,23-07-2025,"1,009.64","1,003.00","1,012.38",999.01,13630000,0.86%,6.64,0.00662014,13.37,0.013383249,1004.60,0.00501692,-0.29,Jul-2025,Up Day
HDFC,22-07-2025,"1,001.06","1,004.05","1,006.50",999.01,14840000,0.33%,-2.99,-0.002977939,7.49,0.007497422,1009.64,-0.00849808,0.09,Jul-2025,Down Day
HDFC,21-07-2025,997.77,986.65,998.52,985.8,22310000,2.20%,11.12,0.011270461,12.72,0.012903226,1001.06,-0.00328652,0.50,Jul-2025,Down Day
